domain,english,tamil,hindi,french,gpt_english,custom_english,words_english,gpt_tamil,custom_tamil,words_tamil,gpt_hindi,custom_hindi,words_hindi,gpt_french,custom_french,words_french,tis_gpt_tamil,tis_gpt_hindi,tis_gpt_french,tis_custom_tamil,tis_custom_hindi,tis_custom_french
Healthcare,The patient needs to take medicine twice a day.,நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து எடுக்க வேண்டும்.,मरीज को दिन में दो बार दवा खानी पड़ती है।,Le patient doit prendre des médicaments deux fois par jour.,10,10,9,77,27,8,43,18,10,13,11,10,6.7,3.3,0.30000000000000004,1.7000000000000002,0.8,0.10000000000000009
Healthcare,It is important that the patient needs to take medicine twice a day.,நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து சாப்பிடுவது முக்கியம்.,जरूरी है कि मरीज को दिन में दो बार दवा खानी पड़े.,Il est important que le patient prenne ses médicaments deux fois par jour.,14,14,13,84,30,8,50,21,12,18,14,13,5.0,2.5714285714285716,0.2857142857142858,1.1428571428571428,0.5,0.0
Healthcare,Remember that the patient needs to take medicine twice a day.,நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து எடுக்க வேண்டும் என்பதை நினைவில் கொள்ளுங்கள்.,याद रखें कि मरीज को दिन में दो बार दवा लेनी है।,N'oubliez pas que le patient doit prendre ses médicaments deux fois par jour.,12,12,11,114,41,11,48,20,12,20,14,13,8.5,3.0,0.6666666666666667,2.4166666666666665,0.6666666666666667,0.16666666666666674
Healthcare,Please note that the patient needs to take medicine twice a day.,நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து எடுக்க வேண்டும் என்பதை நினைவில் கொள்க.,कृपया ध्यान दें कि रोगी को दिन में दो बार दवा लेनी होगी।,Veuillez noter que le patient doit prendre ses médicaments deux fois par jour.,13,13,12,106,38,11,58,23,13,18,14,13,7.153846153846153,3.4615384615384617,0.3846153846153846,1.923076923076923,0.7692307692307692,0.07692307692307687
Healthcare,You should know that the patient needs to take medicine twice a day.,நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து எடுக்க வேண்டும் என்பதை நீங்கள் அறிந்து கொள்ள வேண்டும்.,आपको पता होना चाहिए कि मरीज को दिन में दो बार दवा लेनी होती है।,Il faut savoir que le patient doit prendre des médicaments deux fois par jour.,14,14,13,127,46,13,60,28,15,17,15,14,8.071428571428571,3.2857142857142856,0.2142857142857142,2.2857142857142856,1.0,0.0714285714285714
Healthcare,"According to experts, the patient needs to take medicine twice a day.","நிபுணர்களின் கூற்றுப்படி, நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து எடுக்க வேண்டும்.",विशेषज्ञों के मुताबिक मरीज को दिन में दो बार दवा लेने की जरूरत होती है।,"Selon les experts, le patient doit prendre ses médicaments deux fois par jour.",14,14,12,110,40,10,70,32,15,18,15,13,6.857142857142857,4.0,0.2857142857142858,1.8571428571428572,1.2857142857142856,0.0714285714285714
Healthcare,"As a reminder, the patient needs to take medicine twice a day.","ஒரு நினைவூட்டலாக, நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து எடுக்க வேண்டும்.","एक अनुस्मारक के रूप में, रोगी को दिन में दो बार दवा लेने की आवश्यकता होती है।","Pour rappel, le patient doit prendre ses médicaments deux fois par jour.",14,14,12,103,36,10,78,35,17,17,14,12,6.357142857142857,4.571428571428571,0.2142857142857142,1.5714285714285716,1.5,0.0
Healthcare,It has been noted that the patient needs to take medicine twice a day.,நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து உட்கொள்ள வேண்டும் என்று குறிப்பிடப்பட்டுள்ளது.,ऐसा देखा गया है कि मरीज को दिन में दो बार दवा लेनी पड़ती है।,Il a été noté que le patient doit prendre ses médicaments deux fois par jour.,15,15,14,114,43,10,62,26,15,19,16,15,6.6,3.1333333333333337,0.2666666666666666,1.8666666666666667,0.7333333333333334,0.06666666666666665
Healthcare,Studies show that the patient needs to take medicine twice a day.,நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து உட்கொள்ள வேண்டும் என்று ஆய்வுகள் காட்டுகின்றன.,अध्ययनों से पता चलता है कि मरीज को दिन में दो बार दवा लेने की जरूरत होती है।,Des études montrent que le patient doit prendre des médicaments deux fois par jour.,13,13,12,116,43,11,75,35,18,19,15,14,7.923076923076923,4.769230769230769,0.46153846153846145,2.3076923076923075,1.6923076923076925,0.15384615384615374
Healthcare,Please wash your hands before eating food.,உணவு உண்பதற்கு முன் கைகளை கழுவவும்.,कृपया खाना खाने से पहले अपने हाथ धो लें।,Veuillez vous laver les mains avant de manger.,8,8,7,50,19,5,40,18,9,12,9,8,5.25,4.0,0.5,1.375,1.25,0.125
Healthcare,It is important that please wash your hands before eating food.,உணவு உண்பதற்கு முன் கைகளை கழுவுவது அவசியம்.,यह जरूरी है कि खाना खाने से पहले कृपया अपने हाथ धोएं।,Il est important de se laver les mains avant de manger.,12,12,11,61,24,6,54,25,12,14,12,11,4.083333333333333,3.5,0.16666666666666674,1.0,1.0833333333333335,0.0
Healthcare,Remember that please wash your hands before eating food.,உணவு உண்ணும் முன் கைகளை கழுவ வேண்டும் என்பதை நினைவில் கொள்ளுங்கள்.,याद रखें कि खाना खाने से पहले कृपया अपने हाथ जरूर धोएं।,N'oubliez pas de vous laver les mains avant de manger.,10,10,9,90,33,9,57,26,12,17,11,10,8.0,4.7,0.7,2.3,1.6,0.10000000000000009
Healthcare,Please note that please wash your hands before eating food.,உணவு உண்ணும் முன் கைகளை கழுவ வேண்டும் என்பதை நினைவில் கொள்ளவும்.,कृपया ध्यान दें कि खाना खाने से पहले कृपया अपने हाथ धो लें।,Veuillez noter qu’il est conseillé de se laver les mains avant de manger.,11,11,10,88,32,9,59,26,13,21,16,13,7.0,4.363636363636363,0.9090909090909092,1.9090909090909092,1.3636363636363638,0.4545454545454546
Healthcare,You should know that please wash your hands before eating food.,உணவு உண்பதற்கு முன் கைகளை கழுவ வேண்டும் என்பதை நீங்கள் அறிந்து கொள்ள வேண்டும்.,आपको पता होना चाहिए कि कृपया खाना खाने से पहले अपने हाथ धोएं।,Il faut savoir qu’il faut se laver les mains avant de manger.,12,12,11,106,40,11,59,29,13,16,15,12,7.833333333333334,3.916666666666667,0.33333333333333326,2.3333333333333335,1.4166666666666665,0.25
Healthcare,"According to experts, please wash your hands before eating food.","நிபுணர்களின் கூற்றுப்படி, உணவு உண்ணும் முன் கைகளை கழுவ வேண்டும்.","विशेषज्ञों के मुताबिक, खाना खाने से पहले अपने हाथ जरूर धोएं।","Selon les experts, veuillez vous laver les mains avant de manger.",12,12,10,86,32,8,60,28,11,18,13,11,6.166666666666667,4.0,0.5,1.6666666666666665,1.3333333333333335,0.08333333333333326
Healthcare,"As a reminder, please wash your hands before eating food.","நினைவூட்டலாக, உணவு உண்பதற்கு முன் கைகளை கழுவவும்.","एक अनुस्मारक के रूप में, कृपया खाना खाने से पहले अपने हाथ धो लें।","Pour rappel, veuillez vous laver les mains avant de manger.",12,12,10,71,26,6,64,30,14,17,12,10,4.916666666666667,4.333333333333333,0.41666666666666674,1.1666666666666665,1.5,0.0
Healthcare,It has been noted that please wash your hands before eating food.,உணவு உண்பதற்கு முன் கைகளை கழுவ வேண்டும் என்பது குறிப்பிடத்தக்கது.,यह ध्यान दिया गया है कि खाना खाने से पहले कृपया अपने हाथ धो लें।,Il a été noté qu’il est conseillé de se laver les mains avant de manger.,13,13,12,87,35,8,64,29,15,22,18,15,5.6923076923076925,3.9230769230769234,0.6923076923076923,1.6923076923076925,1.2307692307692308,0.3846153846153846
Healthcare,Studies show that please wash your hands before eating food.,உணவு உண்பதற்கு முன் கைகளை கழுவ வேண்டும் என ஆய்வுகள் தெரிவிக்கின்றன.,अध्ययनों से पता चलता है कि खाना खाने से पहले कृपया अपने हाथ धोएं।,Des études montrent qu’il est conseillé de se laver les mains avant de manger.,11,11,10,90,36,9,65,31,14,22,17,14,7.181818181818182,4.909090909090909,1.0,2.272727272727273,1.8181818181818183,0.5454545454545454
Healthcare,The doctor advised complete bed rest for one week.,ஒரு வாரம் முழுக்க முழுக்க படுக்கையில் ஓய்வெடுக்க வேண்டும் என்று மருத்துவர் அறிவுறுத்தினார்.,डॉक्टर ने एक सप्ताह तक पूरी तरह आराम करने की सलाह दी।,Le médecin lui a conseillé un repos complet au lit pendant une semaine.,10,10,9,121,46,10,52,29,12,18,14,13,11.1,4.2,0.8,3.5999999999999996,1.9,0.3999999999999999
Healthcare,It is important that the doctor advised complete bed rest for one week.,ஒரு வாரத்திற்கு முழுமையான படுக்கை ஓய்வை மருத்துவர் அறிவுறுத்துவது முக்கியம்.,यह महत्वपूर्ण है कि डॉक्टर ने एक सप्ताह तक पूर्ण आराम की सलाह दी है।,Il est important que le médecin conseille un repos complet au lit pendant une semaine.,14,14,13,103,39,8,67,36,15,19,16,15,6.357142857142857,3.7857142857142856,0.3571428571428572,1.7857142857142856,1.5714285714285716,0.1428571428571428
Healthcare,Remember that the doctor advised complete bed rest for one week.,மருத்துவர் ஒரு வாரத்திற்கு முழுமையான படுக்கை ஓய்வை அறிவுறுத்தினார் என்பதை நினைவில் கொள்ளுங்கள்.,याद रखें कि डॉक्टर ने एक सप्ताह तक पूरी तरह आराम करने की सलाह दी है।,N'oubliez pas que le médecin a conseillé un repos complet au lit pendant une semaine.,12,12,11,129,48,10,67,35,16,24,16,15,9.75,4.583333333333333,1.0,3.0,1.9166666666666665,0.33333333333333326
Healthcare,Please note that the doctor advised complete bed rest for one week.,ஒரு வாரத்திற்கு முழுமையான படுக்கை ஓய்வை மருத்துவர் அறிவுறுத்தினார் என்பதை நினைவில் கொள்ளவும்.,कृपया ध्यान दें कि डॉक्टर ने एक सप्ताह तक पूर्ण आराम की सलाह दी है।,Veuillez noter que le médecin a conseillé un repos complet au lit pendant une semaine.,13,13,12,127,47,10,67,33,15,22,16,15,8.76923076923077,4.153846153846154,0.6923076923076923,2.6153846153846154,1.5384615384615383,0.23076923076923084
Healthcare,You should know that the doctor advised complete bed rest for one week.,ஒரு வாரத்திற்கு முழுமையான படுக்கை ஓய்வை மருத்துவர் அறிவுறுத்தினார் என்பதை நீங்கள் அறிந்து கொள்ள வேண்டும்.,आपको पता होना चाहिए कि डॉक्टर ने एक हफ्ते तक पूरी तरह आराम करने की सलाह दी है।,Il faut savoir que le médecin a conseillé un alitement complet pendant une semaine.,14,14,13,142,53,12,75,40,18,21,15,14,9.142857142857142,4.357142857142857,0.5,2.7857142857142856,1.8571428571428572,0.0714285714285714
Healthcare,The doctor advcan beed complete bed rest for one week.,மருத்துவர் ஒரு வாரம் முழு படுக்கை ஓய்வு எடுக்கலாம்.,डॉक्टर एक सप्ताह तक पूरी तरह आराम करने की सलाह देते हैं।,Le médecin peut proposer un alitement complet pendant une semaine.,13,11,10,70,26,7,55,30,12,16,11,10,4.384615384615385,3.230769230769231,0.23076923076923084,1.3636363636363638,1.727272727272727,0.0
Healthcare,"According to experts, the doctor advised complete bed rest for one week.","நிபுணர்களின் கூற்றுப்படி, மருத்துவர் ஒரு வாரத்திற்கு முழுமையான படுக்கை ஓய்வை அறிவுறுத்தினார்.","विशेषज्ञों के मुताबिक, डॉक्टर ने एक हफ्ते तक पूरी तरह आराम करने की सलाह दी है।","Selon les experts, le médecin a conseillé un repos complet au lit pendant une semaine.",14,14,12,125,47,9,77,39,16,22,17,15,7.928571428571429,4.5,0.5714285714285714,2.357142857142857,1.7857142857142856,0.2142857142857142
Healthcare,"As a reminder, the doctor advised complete bed rest for one week.","ஒரு நினைவூட்டலாக, மருத்துவர் ஒரு வாரத்திற்கு முழுமையான படுக்கை ஓய்வை அறிவுறுத்தினார்.","एक अनुस्मारक के रूप में, डॉक्टर ने एक सप्ताह के लिए पूर्ण आराम की सलाह दी।","Pour rappel, le médecin conseillait un alitement complet pendant une semaine.",14,14,12,118,43,9,72,37,16,20,13,11,7.428571428571429,4.142857142857143,0.4285714285714286,2.0714285714285716,1.6428571428571428,-0.0714285714285714
Healthcare,It has been noted that the doctor advised complete bed rest for one week.,ஒரு வாரத்திற்கு முழுமையான படுக்கை ஓய்வை மருத்துவர் அறிவுறுத்தியதாகக் குறிப்பிடப்பட்டுள்ளது.,यह देखा गया है कि डॉक्टर ने एक सप्ताह तक पूरी तरह आराम करने की सलाह दी है।,Il a été noté que le médecin conseillait un alitement complet pendant une semaine.,15,15,14,123,48,8,73,38,18,22,15,14,7.199999999999999,3.8666666666666663,0.46666666666666656,2.2,1.5333333333333332,0.0
Healthcare,Studies show that the doctor advised complete bed rest for one week.,ஒரு வாரத்திற்கு முழுமையான படுக்கை ஓய்வை மருத்துவர் அறிவுறுத்தியதாக ஆய்வுகள் தெரிவிக்கின்றன.,अध्ययनों से पता चलता है कि डॉक्टर ने एक सप्ताह तक पूरी तरह आराम करने की सलाह दी है।,Des études montrent que le médecin a conseillé un repos complet au lit pendant une semaine.,13,13,12,123,48,9,81,43,19,23,17,16,8.461538461538462,5.230769230769231,0.7692307692307692,2.6923076923076925,2.3076923076923075,0.3076923076923077
Healthcare,Drink at least eight glasses of water every day.,தினமும் குறைந்தது எட்டு கிளாஸ் தண்ணீர் குடிக்கவும்.,प्रतिदिन कम से कम आठ गिलास पानी पियें।,Buvez au moins huit verres d'eau chaque jour.,10,10,9,67,25,6,34,19,8,13,9,8,5.7,2.4,0.30000000000000004,1.5,0.8999999999999999,-0.09999999999999998
